,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2020-08-14,9.789999961853027,9.800000190734863,9.789999961853027,9.800000190734863,9.800000190734863,250000,MLAC,-0.002100991198777491,0.9989795685013058,0.001030431498694241,,,-2.038943104359542
2020-08-17,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,MLAC,0.010021568159487293,1.0,1e-05,0.0,-1e-05,1002.1568159487292
2020-08-18,10.0,10.0,9.800000190734863,9.800000190734863,9.800000190734863,1100,MLAC,0.007287631558350771,0.9800000190734863,-0.020398143405366453,0.0,0.020398143405366453,-0.35726935601568044
2020-08-19,9.75,9.75,9.75,9.75,9.75,600,MLAC,-0.005742645841862681,1.0,1e-05,-0.0051020601797675535,-0.005112060179767553,-574.264584186268
2020-08-20,9.75,9.75,9.75,9.75,9.75,700,MLAC,0.010630301888693516,1.0,1e-05,0.0,-1e-05,1063.0301888693516
2020-08-21,9.720000267028809,9.729999542236328,9.699999809265137,9.699999809265137,9.699999809265137,205300,MLAC,0.0041588829566681085,0.9969167796112459,-0.00205190290277819,-0.005128224690755245,-0.0030763217879770555,-2.0268419870341607
2020-08-24,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,200,MLAC,0.0060043426375751,1.0,1e-05,0.0072165618427819656,0.007206561842781966,600.4342637575099
2020-08-25,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,MLAC,0.007623210596084284,1.0,1e-05,0.0,-1e-05,762.3210596084284
2020-08-26,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,MLAC,0.017319179179443367,1.0,1e-05,0.0,-1e-05,1731.9179179443365
2020-08-27,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,MLAC,-0.003405017035968405,1.0,1e-05,0.0,-1e-05,-340.50170359684046
2020-08-28,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,1900,MLAC,0.006046278217000989,1.0,1e-05,-0.006141291382337655,-0.006151291382337654,604.6278217000988
2020-08-31,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,0,MLAC,0.0068256330719147496,1.0,1e-05,0.0,-1e-05,682.5633071914749
2020-09-01,9.699999809265137,9.75,9.699999809265137,9.739999771118164,9.739999771118164,18400,MLAC,0.013945099510527026,0.9948717753092448,0.004116772360676913,0.003089570839684308,-0.0010272015209926051,3.3873865953166424
2020-09-02,9.739999771118164,9.739999771118164,9.729999542236328,9.729999542236328,9.729999542236328,5500,MLAC,0.009780044890400408,0.9989732824315367,-0.0010177728008543096,-0.0010267175684632868,-8.944767608977128e-06,-9.609261401160577
2020-09-03,9.710000038146973,9.729999542236328,9.710000038146973,9.729999542236328,9.729999542236328,312500,MLAC,-0.04962831474198304,0.9979445524121002,0.0020654475878997725,0.0,-0.0020654475878997725,-24.027874167674735
2020-09-04,9.75,9.789999961853027,9.75,9.789999961853027,9.789999961853027,1000,MLAC,-0.012652161484430269,0.995914202041993,0.004095797958007009,0.006166538791317233,0.0020707408333102244,-3.0890589853672217
2020-09-08,9.729999542236328,9.75,9.729999542236328,9.75,9.75,103600,MLAC,-0.04114152829024975,0.9979486709985977,0.002061329001402258,-0.004085797958007009,-0.006147126959409267,-19.9587393677877
2020-09-09,9.75,9.76099967956543,9.75,9.75,9.75,63400,MLAC,0.02709047999938785,0.9988730990752456,1e-05,0.0,-1e-05,2709.047999938785
2020-09-10,9.75,9.760000228881836,9.739999771118164,9.75,9.75,39900,MLAC,-0.01992268004866704,0.997950772818172,1e-05,0.0,-1e-05,-1992.268004866704
2020-09-11,9.75,9.75,9.75,9.75,9.75,0,MLAC,-0.006047849782590431,1.0,1e-05,0.0,-1e-05,-604.7849782590431
2020-09-14,9.75,9.75,9.75,9.75,9.75,200,MLAC,0.01871282571991184,1.0,1e-05,0.0,-1e-05,1871.2825719911839
2020-09-15,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,100,MLAC,0.012089549470456262,1.0,1e-05,0.002051329001402147,0.0020413290014021468,1208.954947045626
