,open,high,low,close,adjclose,volume,ticker,nasdaq_pct_change,low/high,daily_pct_change,close_pct_change,pre_market_pct_change,nasdaq/stock_pct_change
2020-12-07,9.737000465393066,9.92199993133545,9.737000465393066,9.92199993133545,9.92199993133545,400,DSAC,,0.9813546193083391,0.018655380691660884,,,
2020-12-08,10.505999565124512,10.505999565124512,9.6899995803833,9.710000038146973,9.710000038146973,17400,DSAC,,0.9223300953247717,-0.08196729390837827,-0.021366649330337384,0.06060064457804089,
2020-12-09,9.73900032043457,9.869999885559082,9.710000038146973,9.859999656677246,9.859999656677246,159700,DSAC,,0.9837892756568106,0.012281738382945485,0.015447952414107124,0.0031662140311616398,
2020-12-10,9.819999694824219,9.850000381469727,9.710000038146973,9.78499984741211,9.78499984741211,285700,DSAC,,0.9857867677258034,-0.003566887885324398,-0.00760647179275975,-0.004039583907435352,
2020-12-11,9.84000015258789,9.949999809265137,9.800000190734863,9.899999618530273,9.899999618530273,43700,DSAC,,0.9849246611652597,0.006070552348919223,0.01175265946974724,0.0056821071208280165,
2020-12-14,9.899999618530273,9.899999618530273,9.779999732971191,9.800000190734863,9.800000190734863,21100,DSAC,,0.9878787989714188,-0.010194023045831346,-0.010100952691779574,9.307035405177119e-05,
2020-12-15,9.842000007629395,9.989999771118164,9.819000244140625,9.989999771118164,9.989999771118164,46400,DSAC,,0.9828829298403078,0.014824791479440092,0.019387711906672322,0.00456292042723223,
2020-12-16,9.949999809265137,9.949999809265137,9.800000190734863,9.8100004196167,9.8100004196167,32100,DSAC,,0.9849246611652597,-0.014261089058109033,-0.018017953516060725,-0.0037568644579516926,
2020-12-17,9.800000190734863,9.920000076293945,9.800000190734863,9.869999885559082,9.869999885559082,49400,DSAC,,0.9879032374358697,0.007102167744260691,0.0061161532493316795,-0.0009860144949290113,
2020-12-18,9.869999885559082,9.869999885559082,9.729999542236328,9.8100004196167,9.8100004196167,123400,DSAC,,0.9858155678879399,-0.00610615324933168,-0.006078973316926639,2.717993240504077e-05,
